ProductID,ProductName,Category,Price
29fc88f3-fcfc-4027-8e1e-8ba0e03126c0,Have,Electronics,114.25
826cfb3f-0476-4137-aadd-72d8268fa9a5,Into,Electronics,363.37
924c1c3b-f515-4514-a2b6-6a53dcaf4924,Both,Clothing,436.54
0ec3a2b1-9d62-4031-bb5b-1cef53b906a4,Character,Toys,319.15
eeed11aa-9702-4d81-9c9f-c63bc450de70,Wait,Books,30.88
876c81ef-c583-4f8e-8666-37dfb025fb5a,National,Books,467.47
a569d020-fe30-4177-833b-893d91baf755,None,Electronics,193.1
69badd35-2e3f-45d9-9639-af94276e8479,More,Toys,173.7
86818d17-f0de-4eb2-b76d-8401bcc7821c,Hot,Toys,228.55
374d9e26-5ebc-43eb-ba2a-410e3c770170,Race,Home & Kitchen,270.28
98c65987-65fc-43c4-a721-9354016e2c3e,Such,Home & Kitchen,264.44
7b7cdd38-d091-4d78-81df-de30bad9f808,Money,Electronics,170.92
c2e58758-cddc-4d22-9141-4361f30c5000,System,Electronics,151.92
089fbead-6c2d-4c7f-8e04-d581fd0f61e8,Together,Home & Kitchen,467.9
7ee2cf0e-5a94-4e3b-9f05-1db1df557610,Town,Clothing,89.51
7facc1d2-9721-49e7-a918-9e1d7c2101a2,Per,Home & Kitchen,471.37
7cd7989a-8f1c-4d9e-bf71-cbba62bbc857,Them,Books,132.58
78f3efb0-1f6f-4f3c-a40b-8146a05df907,Purpose,Home & Kitchen,68.28
78c42031-3b53-4975-be69-c87de18bd970,Alone,Toys,9.47
80678304-0d89-4a20-961f-8695d66b4248,Politics,Clothing,441.84
d2c89052-cc9a-41c1-91a6-034360eab1a5,Suffer,Electronics,194.34
9f324660-f323-4786-a4ce-2f7fd46b71f8,Tonight,Clothing,49.58
45984ce7-d513-4104-b732-f384ba60aaab,Cell,Electronics,327.22
553944f4-e5b2-4cf6-aa92-31ddac09db51,Represent,Toys,60.55
32e97c33-c5b1-49fd-9818-e18ecc398d16,Discussion,Electronics,425.79
5ca1b6a3-1a1d-45dc-a48f-26ee6d62d699,Science,Electronics,132.66
8401fc7b-859e-4a2b-8541-f53f9413e8d9,Role,Electronics,338.35
9c9f4607-5f33-4bcb-b414-2ec7d8fd61f0,Quite,Electronics,235.17
2df861fc-eaee-4c8c-b648-3a8291d55308,Which,Electronics,338.47
0e854daf-9038-401a-8851-37e39999489b,Phone,Books,328.97
8c440424-4303-478d-a8eb-7bb52ce4e146,Wonder,Electronics,40.64
1b89fc3b-37f4-4c69-8170-ab0139d8e876,Simply,Home & Kitchen,21.5
49f49643-1bdf-4b2c-b799-c7d3a90e9f55,Husband,Clothing,58.2
76a1e873-add2-412e-aff8-1c18ff402b3e,Throughout,Books,193.84
268cbefe-0bd5-44c0-bf63-918e7a758b00,Contain,Electronics,77.08
3ebeb7ef-2ee8-4977-83f0-633400a5d0df,Month,Clothing,220.24
5f825d8c-c4e0-4a49-8826-83cecc001ffb,Fight,Toys,430.7
becff1ff-bfb5-49d5-8188-8d6be0522484,Marriage,Home & Kitchen,67.78
c9858d73-cc78-4c7e-86aa-384015898622,On,Home & Kitchen,166.44
e16c83a8-951c-4330-b27b-102cc09d0f8c,Focus,Home & Kitchen,413.11
893e367c-93e0-49e2-a73e-28eed835e990,View,Home & Kitchen,63.39
7bb885ba-2bf3-4f9b-a595-dabb23299c0b,Ahead,Toys,236.56
82f8f56a-1ad8-4351-8cb4-30ad6b9887fb,Anything,Home & Kitchen,160.64
9df7a589-73e8-4847-ab5f-e2b2661199b1,Science,Electronics,230.51
3352fa79-e2a7-4b8e-8de6-b513aef7ac0c,Option,Clothing,342.96
69880688-153d-40cb-a078-9d8718981adb,Institution,Clothing,374.96
6e750cc6-a516-40e8-bafc-7e9e8111b296,Perhaps,Books,107.75
f16d9126-ef9c-4d9f-b8e8-9320b276a968,Rise,Books,359.51
d01533b0-3d42-4cd8-89e6-967746acd4fd,Ground,Toys,448.81
eb4daa9f-d7e4-445b-b6f2-446cff14261a,Provide,Clothing,192.08
